Borough,Year,AveragePrice,MedianAnnualPay,SavingRatio,BaseRate
Croydon,2014,278641.17,31154.0,7.3,0.5
Croydon,2015,311325.08,30628.0,9.7,0.5
Croydon,2016,360784.75,31479.0,6.3,0.3975
Croydon,2017,377724.33,32109.0,5.2,0.2911
Croydon,2018,375426.75,33804.0,5.4,0.6041
Croydon,2019,371015.17,35654.0,5.8,0.75
Croydon,2020,379844.92,34107.0,16.6,0.2276
Croydon,2021,392932.75,34911.0,12.7,0.1066
Croydon,2022,413625.75,38726.0,5.4,1.4658
Croydon,2023,408826.42,38696.0,6.2,4.6795
Croydon,2024,398770.42,43337.0,9.8,5.1079
Croydon,2025,401758.67,40033.0,9.6,4.2514
Kingston upon Thames,2014,427740.0,30768.0,7.3,0.5
Kingston upon Thames,2015,461335.25,28635.0,9.7,0.5
Kingston upon Thames,2016,509080.83,30729.0,6.3,0.3975
Kingston upon Thames,2017,518544.67,31308.0,5.2,0.2911
Kingston upon Thames,2018,523508.67,31784.5,5.4,0.6041
Kingston upon Thames,2019,512570.5,32261.0,5.8,0.75
Kingston upon Thames,2020,516849.75,35268.0,16.6,0.2276
Kingston upon Thames,2021,537187.25,35713.0,12.7,0.1066
Kingston upon Thames,2022,581384.17,36203.0,5.4,1.4658
Kingston upon Thames,2023,584057.42,37469.0,6.2,4.6795
Kingston upon Thames,2024,571939.33,40719.0,9.8,5.1079
Kingston upon Thames,2025,578451.67,42346.0,9.6,4.2514
Merton,2014,448947.17,27539.0,7.3,0.5
Merton,2015,489274.83,30040.0,9.7,0.5
Merton,2016,534776.33,28224.0,6.3,0.3975
Merton,2017,547517.0,29627.0,5.2,0.2911
Merton,2018,548080.42,31182.0,5.4,0.6041
Merton,2019,539639.5,31741.0,5.8,0.75
Merton,2020,560279.42,33114.0,16.6,0.2276
Merton,2021,578400.5,34210.0,12.7,0.1066
Merton,2022,601244.83,33980.0,5.4,1.4658
Merton,2023,605562.42,37158.0,6.2,4.6795
Merton,2024,602899.33,38736.0,9.8,5.1079
Merton,2025,618284.67,38471.0,9.6,4.2514
Richmond upon Thames,2014,612140.75,31533.0,7.3,0.5
Richmond upon Thames,2015,656400.33,32660.0,9.7,0.5
Richmond upon Thames,2016,693510.33,33329.0,6.3,0.3975
Richmond upon Thames,2017,705734.67,32141.0,5.2,0.2911
Richmond upon Thames,2018,691932.92,34027.0,5.4,0.6041
Richmond upon Thames,2019,688086.08,35390.0,5.8,0.75
Richmond upon Thames,2020,722591.42,35575.0,16.6,0.2276
Richmond upon Thames,2021,742361.08,35651.0,12.7,0.1066
Richmond upon Thames,2022,790449.58,36888.0,5.4,1.4658
Richmond upon Thames,2023,790455.92,39523.0,6.2,4.6795
Richmond upon Thames,2024,780370.5,41536.0,9.8,5.1079
Richmond upon Thames,2025,808612.0,41037.0,9.6,4.2514
Sutton,2014,294322.67,25797.0,7.3,0.5
Sutton,2015,326471.17,27355.0,9.7,0.5
Sutton,2016,369306.5,28318.0,6.3,0.3975
Sutton,2017,381055.42,27945.0,5.2,0.2911
Sutton,2018,383451.08,28853.0,5.4,0.6041
Sutton,2019,375669.5,32999.0,5.8,0.75
Sutton,2020,382900.0,35097.0,16.6,0.2276
Sutton,2021,407876.17,30763.0,12.7,0.1066
Sutton,2022,439056.17,35728.0,5.4,1.4658
Sutton,2023,439402.42,35588.0,6.2,4.6795
Sutton,2024,433218.08,39364.0,9.8,5.1079
Sutton,2025,449512.83,39874.0,9.6,4.2514
Wandsworth,2014,624738.92,31085.0,7.3,0.5
Wandsworth,2015,657066.33,31968.0,9.7,0.5
Wandsworth,2016,698427.33,33405.0,6.3,0.3975
Wandsworth,2017,708960.42,33137.0,5.2,0.2911
Wandsworth,2018,684534.75,34501.0,5.4,0.6041
Wandsworth,2019,674533.42,34814.0,5.8,0.75
Wandsworth,2020,700042.08,34791.0,16.6,0.2276
Wandsworth,2021,682040.33,33499.0,12.7,0.1066
Wandsworth,2022,739389.17,36434.0,5.4,1.4658
Wandsworth,2023,713404.75,39723.0,6.2,4.6795
Wandsworth,2024,721687.83,39999.0,9.8,5.1079
Wandsworth,2025,702708.17,43035.0,9.6,4.2514
