Borough,Year,AveragePrice,MedianAnnualPay,SavingRatio,BaseRate,DepositTarget,MonthlyIncome,MonthlySavings,MonthsToSave,FeasibilityTier,BaselinePrediction
Croydon,2014,278641.17,31154.0,7.3,0.5,27864.117,2596.1666666666665,519.2333333333333,53.66396032612184,Achievable,Achievable
Croydon,2015,311325.08,30628.0,9.7,0.5,31132.508,2552.3333333333335,510.4666666666667,60.988327021026514,Achievable,Achievable
Croydon,2016,360784.75,31479.0,6.3,0.3975,36078.475,2623.25,524.65,68.76674926141237,Achievable,Achievable
Croydon,2017,377724.33,32109.0,5.2,0.2911,37772.433000000005,2675.75,535.15,70.58288890965152,Achievable,Achievable
Croydon,2018,375426.75,33804.0,5.4,0.6041,37542.675,2817.0,563.4,66.63591586794463,Achievable,Achievable
Croydon,2019,371015.17,35654.0,5.8,0.75,37101.517,2971.1666666666665,594.2333333333333,62.43594042744152,Achievable,Achievable
Croydon,2020,379844.92,34107.0,16.6,0.2276,37984.492,2842.25,568.45,66.82116632949247,Achievable,Achievable
Croydon,2021,392932.75,34911.0,12.7,0.1066,39293.275,2909.25,581.85,67.5316232706024,Achievable,Achievable
Croydon,2022,413625.75,38726.0,5.4,1.4658,41362.575000000004,3227.1666666666665,645.4333333333334,64.08496875484171,Achievable,Achievable
Croydon,2023,408826.42,38696.0,6.2,4.6795,40882.642,3224.6666666666665,644.9333333333334,63.39049307421955,Achievable,Achievable
Croydon,2024,398770.42,43337.0,9.8,5.1079,39877.042,3611.4166666666665,722.2833333333333,55.20969425663983,Achievable,Achievable
Croydon,2025,401758.67,40033.0,9.6,4.2514,40175.867,3336.0833333333335,667.2166666666667,60.21412384782554,Achievable,Achievable
Kingston upon Thames,2014,427740.0,30768.0,7.3,0.5,42774.0,2564.0,512.8000000000001,83.41263650546021,Stretch,Stretch
Kingston upon Thames,2015,461335.25,28635.0,9.7,0.5,46133.525,2386.25,477.25,96.66532215819801,Stretch,Stretch
Kingston upon Thames,2016,509080.83,30729.0,6.3,0.3975,50908.083000000006,2560.75,512.15,99.40072830225522,Stretch,Stretch
Kingston upon Thames,2017,518544.67,31308.0,5.2,0.2911,51854.467000000004,2609.0,521.8000000000001,99.37613453430433,Stretch,Stretch
Kingston upon Thames,2018,523508.67,31784.5,5.4,0.6041,52350.867,2648.7083333333335,529.7416666666667,98.8233893879092,Stretch,Stretch
Kingston upon Thames,2019,512570.5,32261.0,5.8,0.75,51257.05,2688.4166666666665,537.6833333333333,95.32943802114009,Stretch,Stretch
Kingston upon Thames,2020,516849.75,35268.0,16.6,0.2276,51684.975000000006,2939.0,587.8000000000001,87.92952534875808,Stretch,Stretch
Kingston upon Thames,2021,537187.25,35713.0,12.7,0.1066,53718.725000000006,2976.0833333333335,595.2166666666667,90.25070702545293,Stretch,Stretch
Kingston upon Thames,2022,581384.17,36203.0,5.4,1.4658,58138.41700000001,3016.9166666666665,603.3833333333333,96.35403198629949,Stretch,Stretch
Kingston upon Thames,2023,584057.42,37469.0,6.2,4.6795,58405.742000000006,3122.4166666666665,624.4833333333333,93.52650244201874,Stretch,Stretch
Kingston upon Thames,2024,571939.33,40719.0,9.8,5.1079,57193.933,3393.25,678.6500000000001,84.27603772194797,Stretch,Stretch
Kingston upon Thames,2025,578451.67,42346.0,9.6,4.2514,57845.16700000001,3528.8333333333335,705.7666666666668,81.96075237330562,Stretch,Stretch
Merton,2014,448947.17,27539.0,7.3,0.5,44894.717000000004,2294.9166666666665,458.98333333333335,97.81339264316061,Stretch,Stretch
Merton,2015,489274.83,30040.0,9.7,0.5,48927.48300000001,2503.3333333333335,500.66666666666674,97.72466644474035,Stretch,Stretch
Merton,2016,534776.33,28224.0,6.3,0.3975,53477.633,2352.0,470.40000000000003,113.68544430272108,Unfeasible,Unfeasible
Merton,2017,547517.0,29627.0,5.2,0.2911,54751.700000000004,2468.9166666666665,493.7833333333333,110.88203328045365,Unfeasible,Unfeasible
Merton,2018,548080.42,31182.0,5.4,0.6041,54808.04200000001,2598.5,519.7,105.46092360977488,Stretch,Stretch
Merton,2019,539639.5,31741.0,5.8,0.75,53963.950000000004,2645.0833333333335,529.0166666666668,102.00803377335306,Stretch,Stretch
Merton,2020,560279.42,33114.0,16.6,0.2276,56027.94200000001,2759.5,551.9,101.51828592136259,Stretch,Stretch
Merton,2021,578400.5,34210.0,12.7,0.1066,57840.05,2850.8333333333335,570.1666666666667,101.44410990938322,Stretch,Stretch
Merton,2022,601244.83,33980.0,5.4,1.4658,60124.483,2831.6666666666665,566.3333333333334,106.16447851677457,Stretch,Stretch
Merton,2023,605562.42,37158.0,6.2,4.6795,60556.242000000006,3096.5,619.3000000000001,97.78175682221863,Stretch,Stretch
Merton,2024,602899.33,38736.0,9.8,5.1079,60289.933,3228.0,645.6,93.38589374225526,Stretch,Stretch
Merton,2025,618284.67,38471.0,9.6,4.2514,61828.467000000004,3205.9166666666665,641.1833333333334,96.4286870629825,Stretch,Stretch
Richmond upon Thames,2014,612140.75,31533.0,7.3,0.5,61214.075000000004,2627.75,525.5500000000001,116.47621539339738,Unfeasible,Unfeasible
Richmond upon Thames,2015,656400.33,32660.0,9.7,0.5,65640.033,2721.6666666666665,544.3333333333334,120.58793570116349,Unfeasible,Unfeasible
Richmond upon Thames,2016,693510.33,33329.0,6.3,0.3975,69351.033,2777.4166666666665,555.4833333333333,124.8480896516547,Unfeasible,Unfeasible
Richmond upon Thames,2017,705734.67,32141.0,5.2,0.2911,70573.467,2678.4166666666665,535.6833333333333,131.74475031890734,Unfeasible,Unfeasible
Richmond upon Thames,2018,691932.92,34027.0,5.4,0.6041,69193.292,2835.5833333333335,567.1166666666667,122.00891997531372,Unfeasible,Unfeasible
Richmond upon Thames,2019,688086.08,35390.0,5.8,0.75,68808.608,2949.1666666666665,589.8333333333334,116.6577134783837,Unfeasible,Unfeasible
Richmond upon Thames,2020,722591.42,35575.0,16.6,0.2276,72259.142,2964.5833333333335,592.9166666666667,121.87065411103302,Unfeasible,Unfeasible
Richmond upon Thames,2021,742361.08,35651.0,12.7,0.1066,74236.108,2970.9166666666665,594.1833333333333,124.9380516675549,Unfeasible,Unfeasible
Richmond upon Thames,2022,790449.58,36888.0,5.4,1.4658,79044.958,3074.0,614.8000000000001,128.57019843851657,Unfeasible,Unfeasible
Richmond upon Thames,2023,790455.92,39523.0,6.2,4.6795,79045.592,3293.5833333333335,658.7166666666667,119.9993806138198,Unfeasible,Unfeasible
Richmond upon Thames,2024,780370.5,41536.0,9.8,5.1079,78037.05,3461.3333333333335,692.2666666666668,112.72686344375961,Unfeasible,Unfeasible
Richmond upon Thames,2025,808612.0,41037.0,9.6,4.2514,80861.20000000001,3419.75,683.95,118.22677096278969,Unfeasible,Unfeasible
Sutton,2014,294322.67,25797.0,7.3,0.5,29432.267,2149.75,429.95000000000005,68.45509245261076,Achievable,Achievable
Sutton,2015,326471.17,27355.0,9.7,0.5,32647.117,2279.5833333333335,455.91666666666674,71.60764101626758,Achievable,Achievable
Sutton,2016,369306.5,28318.0,6.3,0.3975,36930.65,2359.8333333333335,471.9666666666667,78.24842856133908,Stretch,Stretch
Sutton,2017,381055.42,27945.0,5.2,0.2911,38105.542,2328.75,465.75,81.81544176060119,Stretch,Stretch
Sutton,2018,383451.08,28853.0,5.4,0.6041,38345.108,2404.4166666666665,480.8833333333333,79.73889994108065,Stretch,Stretch
Sutton,2019,375669.5,32999.0,5.8,0.75,37566.950000000004,2749.9166666666665,549.9833333333333,68.30561532167643,Achievable,Achievable
Sutton,2020,382900.0,35097.0,16.6,0.2276,38290.0,2924.75,584.95,65.45858620394905,Achievable,Achievable
Sutton,2021,407876.17,30763.0,12.7,0.1066,40787.617,2563.5833333333335,512.7166666666667,79.55196242239053,Stretch,Stretch
Sutton,2022,439056.17,35728.0,5.4,1.4658,43905.617,2977.3333333333335,595.4666666666667,73.73312304075235,Stretch,Stretch
Sutton,2023,439402.42,35588.0,6.2,4.6795,43940.242,2965.6666666666665,593.1333333333333,74.08155895245588,Stretch,Stretch
Sutton,2024,433218.08,39364.0,9.8,5.1079,43321.808000000005,3280.3333333333335,656.0666666666667,66.03263083020019,Achievable,Achievable
Sutton,2025,449512.83,39874.0,9.6,4.2514,44951.283,3322.8333333333335,664.5666666666667,67.63999046998043,Achievable,Achievable
Wandsworth,2014,624738.92,31085.0,7.3,0.5,62473.89200000001,2590.4166666666665,518.0833333333334,120.58656972816472,Unfeasible,Unfeasible
Wandsworth,2015,657066.33,31968.0,9.7,0.5,65706.633,2664.0,532.8000000000001,123.32326013513513,Unfeasible,Unfeasible
Wandsworth,2016,698427.33,33405.0,6.3,0.3975,69842.733,2783.75,556.75,125.44720790300852,Unfeasible,Unfeasible
Wandsworth,2017,708960.42,33137.0,5.2,0.2911,70896.042,2761.4166666666665,552.2833333333333,128.36896882638743,Unfeasible,Unfeasible
Wandsworth,2018,684534.75,34501.0,5.4,0.6041,68453.475,2875.0833333333335,575.0166666666668,119.04607112837309,Unfeasible,Unfeasible
Wandsworth,2019,674533.42,34814.0,5.8,0.75,67453.342,2901.1666666666665,580.2333333333333,116.25209743206756,Unfeasible,Unfeasible
Wandsworth,2020,700042.08,34791.0,16.6,0.2276,70004.208,2899.25,579.85,120.72813313788048,Unfeasible,Unfeasible
Wandsworth,2021,682040.33,33499.0,12.7,0.1066,68204.033,2791.5833333333335,558.3166666666667,122.16012358577866,Unfeasible,Unfeasible
Wandsworth,2022,739389.17,36434.0,5.4,1.4658,73938.917,3036.1666666666665,607.2333333333333,121.76360048306526,Unfeasible,Unfeasible
Wandsworth,2023,713404.75,39723.0,6.2,4.6795,71340.475,3310.25,662.0500000000001,107.75692923495204,Stretch,Stretch
Wandsworth,2024,721687.83,39999.0,9.8,5.1079,72168.783,3333.25,666.6500000000001,108.25588089702241,Unfeasible,Unfeasible
Wandsworth,2025,702708.17,43035.0,9.6,4.2514,70270.81700000001,3586.25,717.25,97.97255768560476,Stretch,Stretch
