Borough,Year,AveragePrice
Croydon,2014,278641.17
Croydon,2015,311325.08
Croydon,2016,360784.75
Croydon,2017,377724.33
Croydon,2018,375426.75
Croydon,2019,371015.17
Croydon,2020,379844.92
Croydon,2021,392932.75
Croydon,2022,413625.75
Croydon,2023,408826.42
Croydon,2024,398770.42
Croydon,2025,401758.67
Kingston upon Thames,2014,427740.0
Kingston upon Thames,2015,461335.25
Kingston upon Thames,2016,509080.83
Kingston upon Thames,2017,518544.67
Kingston upon Thames,2018,523508.67
Kingston upon Thames,2019,512570.5
Kingston upon Thames,2020,516849.75
Kingston upon Thames,2021,537187.25
Kingston upon Thames,2022,581384.17
Kingston upon Thames,2023,584057.42
Kingston upon Thames,2024,571939.33
Kingston upon Thames,2025,578451.67
Merton,2014,448947.17
Merton,2015,489274.83
Merton,2016,534776.33
Merton,2017,547517.0
Merton,2018,548080.42
Merton,2019,539639.5
Merton,2020,560279.42
Merton,2021,578400.5
Merton,2022,601244.83
Merton,2023,605562.42
Merton,2024,602899.33
Merton,2025,618284.67
Richmond upon Thames,2014,612140.75
Richmond upon Thames,2015,656400.33
Richmond upon Thames,2016,693510.33
Richmond upon Thames,2017,705734.67
Richmond upon Thames,2018,691932.92
Richmond upon Thames,2019,688086.08
Richmond upon Thames,2020,722591.42
Richmond upon Thames,2021,742361.08
Richmond upon Thames,2022,790449.58
Richmond upon Thames,2023,790455.92
Richmond upon Thames,2024,780370.5
Richmond upon Thames,2025,808612.0
Sutton,2014,294322.67
Sutton,2015,326471.17
Sutton,2016,369306.5
Sutton,2017,381055.42
Sutton,2018,383451.08
Sutton,2019,375669.5
Sutton,2020,382900.0
Sutton,2021,407876.17
Sutton,2022,439056.17
Sutton,2023,439402.42
Sutton,2024,433218.08
Sutton,2025,449512.83
Wandsworth,2014,624738.92
Wandsworth,2015,657066.33
Wandsworth,2016,698427.33
Wandsworth,2017,708960.42
Wandsworth,2018,684534.75
Wandsworth,2019,674533.42
Wandsworth,2020,700042.08
Wandsworth,2021,682040.33
Wandsworth,2022,739389.17
Wandsworth,2023,713404.75
Wandsworth,2024,721687.83
Wandsworth,2025,702708.17
